course_name,url_classCentral,end_url,provider_slug,summary,duration,entity_url,type,source,language
Nutrition and Health: Human Microbiome,/course/nutrition-wageningen-university-research-nutritio-9565,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-human-microbiome,edx,"Learn how you can impact your health by balancing your gut health; how your microbiome together with your diet can improve normal gut function. A balanced microbiome and nutritional intake can avoid disorders like IBS, obesity and diabetes.","6 weeks, 3-5 hours a week",/university/wageningenur,free,classCentral,en
Nutrition and Cancer,/course/nutrition-wageningen-university-research-nutritio-11591,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-cancer,edx,Explore the role of nutrition in cancer prevention and progression with Wageningen University's 5-week course. Ideal for health professionals and cancer survivors.,"5 weeks, 6-8 hours a week",/university/wageningenur,free,classCentral,en
HOPE: What Makes Us Human,/course/social-science-tel-aviv-university-hope-what-make-11584,https://www.edx.org/learn/social-science/tel-aviv-university-hope-what-makes-us-human-2,edx,"What sets us apart, and brings us together, as humans? How can we live up to our humanity? HOPE is an open invitation to become better at being human, to realize our humanity. Join HOPE to discover what it means to be us and live up to it!","10 weeks, 3-5 hours a week",/university/telaviv,free,classCentral,en
Unlocking Information Security I: From Cryptography to Buffer Overflows,/course/information-security-tel-aviv-university-unlockin-16964,https://www.edx.org/learn/information-security/tel-aviv-university-unlocking-information-security-i-from-cryptography-to-buffer-overflows,edx,"Learn the basics of information security, explore vulnerabilities, understand cryptography and hash functions, and study authentication schemes in this 5-week course from Tel Aviv University.","5 weeks, 4-6 hours a week",/university/telaviv,free,classCentral,en
Six Sigma Part 1: Define and Measure,/course/six-sigma-technische-universitat-munchen-six-sigm-8450,https://www.edx.org/learn/six-sigma/technische-universitat-munchen-six-sigma-define-and-measure,edx,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.","8 weeks, 3-4 hours a week",/university/tum,free,classCentral,en
Lean Production,/course/manufacturing-technische-universitat-munchen-lean-8447,https://www.edx.org/learn/manufacturing/technische-universitat-munchen-lean-production,edx,"Learn how to apply key elements of Lean Production, from minimizing inventory and reducing setup times, to using 5S and Kaizen, in order to improve quality and productivity in your workplace.","6 weeks, 3-4 hours a week",/university/tum,free,classCentral,en
"Six Sigma Part 2: Analyze, Improve, Control",/course/six-sigma-technische-universitat-munchen-six-sigm-8452,https://www.edx.org/learn/six-sigma/technische-universitat-munchen-six-sigma-analyze-improve-control,edx,"Learn how to statistically analyze process data to determine the root cause and propose solutions for process problems, to implement quality management tools, such as 8D and the 5 Whys, and to understand the concept of Design for Six Sigma (DFSS).","8 weeks, 3-4 hours a week",/university/tum,free,classCentral,en
Learn Like a Pro: Science-Based Tools to Become Better at Anything,/course/how-to-learn-barbara-oakley-olav-schewe-learn-lik-40292,https://www.edx.org/learn/how-to-learn/barbara-oakley-olav-schewe-learn-like-a-pro-science-based-tools-to-become-better-at-anything,edx,"Join Dr. Barbara Oakley and Olav Schewe in a 2-week course to master effective learning techniques based on neuroscience. Improve memory, boost motivation, and handle frustration creatively.","2 weeks, 1-2 hours a week",/provider/edx,free,classCentral,en
The Future of Work: Preparing for Disruption,/course/future-work-world-bank-group-the-future-of-work-p-13702,https://www.edx.org/learn/future-work/world-bank-group-the-future-of-work-preparing-for-disruption,edx,"Only MOOC to explore the 2019 World Development Report (WDR) and workforce of the future. Learn how A.I., automation, advanced technologies and new businesses are changing the world.","5 weeks, 3-5 hours a week",/institution/worldbank,free,classCentral,en
Introduction to Computer Science and Programming Using Python,/course/computer-science-massachusetts-institute-of-techn-1341,https://www.edx.org/learn/computer-science/massachusetts-institute-of-technology-introduction-to-computer-science-and-programming-using-python,edx,An introduction to computer science as a tool to solve real-world analytical problems using Python 3.5.,"9 weeks, 14-16 hours a week",/university/mit,free,classCentral,en
Basic Spanish 3: Getting there,/course/spanish-universitat-politecnica-de-valencia-basic-17850,https://www.edx.org/learn/spanish/universitat-politecnica-de-valencia-basic-spanish-3-getting-there,edx,"Beginners course for learners of Spanish that focuses not only on language but also on cultural aspects, specifically designed for English speakers.","4 weeks, 3-4 hours a week",/university/upv,free,classCentral,en
Quantum Mechanics for Everyone,/course/quantum-physics-mechanics-georgetown-university-q-8284,https://www.edx.org/learn/quantum-physics-mechanics/georgetown-university-quantum-mechanics-for-everyone,edx,"Explore the basics of quantum mechanics in a 6-week course from Georgetown University. Learn without complex math, covering topics like quantum seeing in the dark and the Hong-Ou-Mandel effect.","6 weeks, 7-10 hours a week",/university/georgetown,free,classCentral,en
Molecular Biology - Part 1: DNA Replication and Repair,/course/molecular-biology-massachusetts-institute-of-tech-2907,https://www.edx.org/learn/molecular-biology/massachusetts-institute-of-technology-molecular-biology-part-1-dna-replication-and-repair,edx,An in-depth adventure through DNA replication and repair to strengthen your scientific thinking and experimental design skills.,"9 weeks, 4-6 hours a week",/university/mit,free,classCentral,en
