url,name,description,isScraping,lastFullScrape,isIndependent
https://www.edx.org/,edX,Online learning platform offering courses from top universities and institutions,True,,False
https://www.udemy.com/,Udemy,Global marketplace for learning and teaching online,False,,False
https://www.udacity.com/,Udacity,Online learning platform focusing on technology and computer science courses,False,,False
https://www.coursera.org/,Coursera,Online learning platform partnering with universities and organizations,False,,False
https://explore.skillbuilder.aws/,AWS Skill Builder,Learning platform for AWS cloud skills and certifications,False,,False
https://learn.microsoft.com/,Microsoft Learn,Free online training platform for Microsoft technologies,False,,False
